"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"185","26.021096759","192.168.15.4","192.168.15.3","MQTT","90","","","37953","1883","Connect Command"
"187","26.023436459","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","1","37953","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"188","26.023917838","192.168.15.3","192.168.15.4","MQTT","70","","","1883","37953","Connect Ack"
"191","26.026219616","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","37953","Publish Ack (id=1)"
"198","27.028577195","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","2","37953","1883","Publish Message (id=2) [Deviceb'Device - 1']"
"200","27.031371904","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","37953","Publish Ack (id=2)"
"212","28.033880087","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","3","37953","1883","Publish Message (id=3) [Deviceb'Device - 1']"
"214","28.036671599","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","37953","Publish Ack (id=3)"
"220","29.038713357","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","4","37953","1883","Publish Message (id=4) [Deviceb'Device - 1']"
"221","29.041346621","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","37953","Publish Ack (id=4)"
"235","30.042764932","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","5","37953","1883","Publish Message (id=5) [Deviceb'Device - 1']"
"236","30.045957473","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","37953","Publish Ack (id=5)"
"367","31.047609693","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","6","37953","1883","Publish Message (id=6) [Deviceb'Device - 1']"
"369","31.050281439","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","37953","Publish Ack (id=6)"
"546","32.051877794","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","7","37953","1883","Publish Message (id=7) [Deviceb'Device - 1']"
"547","32.054521096","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","37953","Publish Ack (id=7)"
"570","33.056637781","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","8","37953","1883","Publish Message (id=8) [Deviceb'Device - 1']"
"571","33.059368750","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","37953","Publish Ack (id=8)"
"577","34.062082561","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","9","37953","1883","Publish Message (id=9) [Deviceb'Device - 1']"
"578","34.064802759","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","37953","Publish Ack (id=9)"
"700","35.066702082","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","10","37953","1883","Publish Message (id=10) [Deviceb'Device - 1']"
"704","35.069821895","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","37953","Publish Ack (id=10)"
"765","36.072199880","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","11","37953","1883","Publish Message (id=11) [Deviceb'Device - 1']"
"766","36.075288824","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","37953","Publish Ack (id=11)"
"892","37.077474525","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","12","37953","1883","Publish Message (id=12) [Deviceb'Device - 1']"
"893","37.081388417","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","37953","Publish Ack (id=12)"
"1340","38.083278638","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","13","37953","1883","Publish Message (id=13) [Deviceb'Device - 1']"
"1341","38.085878599","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","37953","Publish Ack (id=13)"
"1610","39.088024933","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","14","37953","1883","Publish Message (id=14) [Deviceb'Device - 1']"
"1611","39.091161577","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","37953","Publish Ack (id=14)"
"1627","40.094063186","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","15","37953","1883","Publish Message (id=15) [Deviceb'Device - 1']"
"1628","40.096728840","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","37953","Publish Ack (id=15)"
"1667","41.098532454","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","16","37953","1883","Publish Message (id=16) [Deviceb'Device - 1']"
"1669","41.101699135","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","37953","Publish Ack (id=16)"
"1721","42.104398340","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","17","37953","1883","Publish Message (id=17) [Deviceb'Device - 1']"
"1723","42.107007317","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","37953","Publish Ack (id=17)"
"1737","43.108271460","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","18","37953","1883","Publish Message (id=18) [Deviceb'Device - 1']"
"1738","43.110855300","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","37953","Publish Ack (id=18)"
"1744","44.112975419","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","19","37953","1883","Publish Message (id=19) [Deviceb'Device - 1']"
"1745","44.115549741","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","37953","Publish Ack (id=19)"
"1769","45.117859036","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","20","37953","1883","Publish Message (id=20) [Deviceb'Device - 1']"
"1770","45.120607888","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","37953","Publish Ack (id=20)"
"1776","46.123115586","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","21","37953","1883","Publish Message (id=21) [Deviceb'Device - 1']"
"1777","46.126131102","192.168.15.3","192.168.15.4","MQTT","70","","21","1883","37953","Publish Ack (id=21)"
"1861","47.128475853","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","22","37953","1883","Publish Message (id=22) [Deviceb'Device - 1']"
"1862","47.132294515","192.168.15.3","192.168.15.4","MQTT","70","","22","1883","37953","Publish Ack (id=22)"
"2769","48.134390124","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","23","37953","1883","Publish Message (id=23) [Deviceb'Device - 1']"
"2839","48.139926590","192.168.15.3","192.168.15.4","MQTT","70","","23","1883","37953","Publish Ack (id=23)"
"3316","49.141564825","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","24","37953","1883","Publish Message (id=24) [Deviceb'Device - 1']"
"3317","49.144270014","192.168.15.3","192.168.15.4","MQTT","70","","24","1883","37953","Publish Ack (id=24)"
"3625","50.145933987","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","25","37953","1883","Publish Message (id=25) [Deviceb'Device - 1']"
"3638","50.148765945","192.168.15.3","192.168.15.4","MQTT","70","","25","1883","37953","Publish Ack (id=25)"
"3915","51.150115643","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","26","37953","1883","Publish Message (id=26) [Deviceb'Device - 1']"
"3916","51.153548967","192.168.15.3","192.168.15.4","MQTT","70","","26","1883","37953","Publish Ack (id=26)"
"3991","52.156386765","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","27","37953","1883","Publish Message (id=27) [Deviceb'Device - 1']"
"3992","52.159044063","192.168.15.3","192.168.15.4","MQTT","70","","27","1883","37953","Publish Ack (id=27)"
"4002","53.161192898","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","28","37953","1883","Publish Message (id=28) [Deviceb'Device - 1']"
"4003","53.164287473","192.168.15.3","192.168.15.4","MQTT","70","","28","1883","37953","Publish Ack (id=28)"
"4025","54.167220208","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","29","37953","1883","Publish Message (id=29) [Deviceb'Device - 1']"
"4026","54.169866365","192.168.15.3","192.168.15.4","MQTT","70","","29","1883","37953","Publish Ack (id=29)"
