"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"

"15961","1080.023169083","192.168.15.4","192.168.15.3","MQTT","90","","","59275","1883","Connect Command"
"15963","1080.025444617","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","1","59275","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"15964","1080.025946025","192.168.15.3","192.168.15.4","MQTT","70","","","1883","59275","Connect Ack"
"15967","1080.029299237","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","59275","Publish Ack (id=1)"
"15973","1081.031268255","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","2","59275","1883","Publish Message (id=2) [Deviceb'Device - 1']"
"15975","1081.034209789","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","59275","Publish Ack (id=2)"
"15983","1082.036234995","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","3","59275","1883","Publish Message (id=3) [Deviceb'Device - 1']"
"15985","1082.039084174","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","59275","Publish Ack (id=3)"
"15993","1083.041459955","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","4","59275","1883","Publish Message (id=4) [Deviceb'Device - 1']"
"15995","1083.044603350","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","59275","Publish Ack (id=4)"
"16000","1084.047619385","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","5","59275","1883","Publish Message (id=5) [Deviceb'Device - 1']"
"16001","1084.050390736","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","59275","Publish Ack (id=5)"
"16007","1085.052688024","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","6","59275","1883","Publish Message (id=6) [Deviceb'Device - 1']"
"16008","1085.055694440","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","59275","Publish Ack (id=6)"
"16014","1086.058043217","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","7","59275","1883","Publish Message (id=7) [Deviceb'Device - 1']"
"16015","1086.060713177","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","59275","Publish Ack (id=7)"
"16044","1087.063332508","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","8","59275","1883","Publish Message (id=8) [Deviceb'Device - 1']"
"16045","1087.065949918","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","59275","Publish Ack (id=8)"
"16059","1088.068506261","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","9","59275","1883","Publish Message (id=9) [Deviceb'Device - 1']"
"16060","1088.071238498","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","59275","Publish Ack (id=9)"
"16066","1089.073226437","192.168.15.4","192.168.15.3","MQTT","338","Deviceb'Device - 1'","10","59275","1883","Publish Message (id=10) [Deviceb'Device - 1']"
