"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"1238","96.923183798","192.168.15.4","192.168.15.3","MQTT","90","","","41817","1883","Connect Command"
"1239","96.924490877","192.168.15.4","192.168.15.3","MQTT","90","","","42513","1883","Connect Command"
"1240","96.924876866","192.168.15.4","192.168.15.3","MQTT","90","","","38983","1883","Connect Command"
"1241","96.925163598","192.168.15.4","192.168.15.3","MQTT","90","","","37737","1883","Connect Command"
"1242","96.925450871","192.168.15.4","192.168.15.3","MQTT","90","","","60773","1883","Connect Command"
"1244","96.925663613","192.168.15.4","192.168.15.3","MQTT","348","Deviceb'Device - 1'","1","41817","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"1245","96.926121658","192.168.15.3","192.168.15.4","MQTT","70","","","1883","41817","Connect Ack"
"1248","96.928500252","192.168.15.4","192.168.15.3","MQTT","348","Deviceb'Device - 4'","1","42513","1883","Publish Message (id=1) [Deviceb'Device - 4']"
"1250","96.928515851","192.168.15.4","192.168.15.3","MQTT","348","Deviceb'Device - 3'","1","38983","1883","Publish Message (id=1) [Deviceb'Device - 3']"
"1252","96.928523065","192.168.15.4","192.168.15.3","MQTT","348","Deviceb'Device - 2'","1","37737","1883","Publish Message (id=1) [Deviceb'Device - 2']"
"1254","96.928538654","192.168.15.4","192.168.15.3","MQTT","348","Deviceb'Device - 5'","1","60773","1883","Publish Message (id=1) [Deviceb'Device - 5']"
"1256","96.928552761","192.168.15.3","192.168.15.4","MQTT","70","","","1883","42513","Connect Ack"
"1258","96.928552831","192.168.15.3","192.168.15.4","MQTT","70","","","1883","38983","Connect Ack"
"1260","96.928573119","192.168.15.3","192.168.15.4","MQTT","70","","","1883","37737","Connect Ack"
"1262","96.928573179","192.168.15.3","192.168.15.4","MQTT","70","","","1883","60773","Connect Ack"
"1264","96.928573229","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","41817","Publish Ack (id=1)"
"1269","96.931193670","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","42513","Publish Ack (id=1)"
"1272","96.931504597","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","38983","Publish Ack (id=1)"
"1274","96.931521459","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","37737","Publish Ack (id=1)"
