Time_publish,Time_ack,Size_Payload,RTT
96.925663613,96.928573229,246.0,2.9096159999966176
97.930017072,97.932754313,246.0,2.737241000005497
98.939058178,98.941730096,246.0,2.6719180000043252
99.94813033,99.950589776,246.0,2.4594460000031404
100.955806886,100.958352936,246.0,2.546049999992306
101.963638638,101.966680414,246.0,3.041775999989227
102.972431755,102.975121396,246.0,2.689641000003462
103.978713239,103.981697878,246.0,2.984639000004563
104.984141351,104.986970165,246.0,2.8288139999972373
105.990911252,105.993818064,246.0,2.9068119999919872
106.998791901,107.001674937,246.0,2.883036000000061
108.006336075,108.008936428,246.0,2.6003530000053843
109.012480296,109.015143988,246.0,2.6636919999987185
110.018186871,110.020819574,246.0,2.632703000003289
111.025774042,111.028563371,246.0,2.7893290000093884
112.031724481,112.034388924,246.0,2.6644430000004604
113.039267891,113.042324184,246.0,3.0562930000002098
114.048737883,114.051420962,246.0,2.683078999993427
115.05539975,115.057561493,246.0,2.161742999987837
116.061063786,116.063867322,246.0,2.8035359999876164
117.06668879,117.069680782,246.0,2.991992000005439
118.072640581,118.075552652,246.0,2.9120709999972405
119.078180518,119.080987801,246.0,2.8072830000098747
120.084305288,120.086248078,246.0,1.9427900000010823
121.089272627,121.092255692,246.0,2.983064999995122
122.094563929,122.097578343,246.0,3.014413999991916
123.099705019,123.101742948,246.0,2.037928999996552
124.107343115,124.110323775,246.0,2.9806599999915306
125.113024227,125.115771727,246.0,2.7474999999981264
126.12103875,126.123784156,246.0,2.745406000002504
127.126031383,127.12874563,246.0,2.714247000000114
128.133826654,128.136651079,246.0,2.8244250000000193
129.1399983,129.143033713,246.0,3.0354129999921042
130.146299002,130.14889219,246.0,2.593187999991642
131.152493807,131.15513225,246.0,2.63844299999505
132.157056227,132.159837491,246.0,2.781263999992234
133.163278197,133.164972537,246.0,1.6943400000002384
134.169835593,134.172576531,246.0,2.740938000016513
135.176493702,135.181654139,246.0,5.160437000000684
136.184670301,136.187464238,246.0,2.7939369999785413
137.190127774,137.192931941,246.0,2.804167000022062
138.195533674,138.198284771,246.0,2.751097000015079
139.201039754,139.203993563,246.0,2.9538090000187367
140.205702243,140.208407573,246.0,2.70532999999773
141.211536989,141.214317531,246.0,2.780542000010655
142.218515669,142.221217552,246.0,2.7018830000145044
143.225582359,143.228611971,246.0,3.0296120000059545
144.232335247,144.235263437,246.0,2.9281899999773486
145.237605828,145.239781056,246.0,2.1752279999986968
146.242236993,146.244955357,246.0,2.7183640000032483
147.249187863,147.251793605,246.0,2.6057419999858666
148.254008422,148.256702981,246.0,2.694558999991159
149.259876621,149.262839187,246.0,2.9625660000078824
150.266312907,150.269230928,246.0,2.9180209999992712
151.273571798,151.276330839,246.0,2.7590409999902477
152.279250827,152.282352696,246.0,3.1018690000053084
153.284271357,153.287497591,246.0,3.2262340000102085
154.290297689,154.293595187,246.0,3.297497999994903
155.295877079,155.298564014,246.0,2.686934999985624
