Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device - 1,100,0,3,3.28,2,9,246.0,1.0035437336622977,0.0,3,3,4,4,4,4,8,9,9,9,9
MQTT,Device - 2,100,0,3,3.2,2,7,246.0,1.0035437336622977,0.0,3,3,4,4,4,4,5,7,7,7,7
MQTT,Device - 3,100,0,3,3.05,2,7,246.0,1.0035437336622977,0.0,3,3,3,3,4,4,4,7,7,7,7
MQTT,Device - 4,100,0,3,3.35,2,9,246.0,1.0035437336622977,0.0,3,4,4,4,4,4,5,9,9,9,9
MQTT,Device - 5,100,0,3,3.21,2,8,246.0,1.0035437336622977,0.0,3,3,3,4,4,4,6,8,8,8,8
,Aggregated,500,0,3,3.218,2,9,246.0,5.017718668311488,0.0,3,3,3,4,4,4,5,7,9,9,9
