"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"738","24.296547604","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","4","60501","1883","Publish Message (id=4) [Deviceb'Device - 4']"
"740","24.297799314","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","36061","Publish Ack (id=4)"
"742","24.297799515","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","59967","Publish Ack (id=4)"
"744","24.297851143","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","49941","Publish Ack (id=4)"
"747","24.299328432","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","37215","Publish Ack (id=4)"
"749","24.299364651","192.168.15.3","192.168.15.4","MQTT","70","","4","1883","60501","Publish Ack (id=4)"
"812","25.299434169","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","5","59967","1883","Publish Message (id=5) [Deviceb'Device - 3']"
"813","25.299501036","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","5","36061","1883","Publish Message (id=5) [Deviceb'Device - 1']"
"814","25.299889464","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","5","49941","1883","Publish Message (id=5) [Deviceb'Device - 5']"
"815","25.300287201","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","5","37215","1883","Publish Message (id=5) [Deviceb'Device - 2']"
"816","25.300668055","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","5","60501","1883","Publish Message (id=5) [Deviceb'Device - 4']"
"817","25.302188416","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","59967","Publish Ack (id=5)"
"819","25.302562667","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","36061","Publish Ack (id=5)"
"821","25.302593706","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","49941","Publish Ack (id=5)"
"823","25.302593816","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","37215","Publish Ack (id=5)"
"825","25.302947369","192.168.15.3","192.168.15.4","MQTT","70","","5","1883","60501","Publish Ack (id=5)"
"827","26.305393768","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","6","59967","1883","Publish Message (id=6) [Deviceb'Device - 3']"
"828","26.305628515","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","6","37215","1883","Publish Message (id=6) [Deviceb'Device - 2']"
"829","26.307593311","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","6","49941","1883","Publish Message (id=6) [Deviceb'Device - 5']"
"830","26.307718208","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","6","60501","1883","Publish Message (id=6) [Deviceb'Device - 4']"
"831","26.307832185","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","6","36061","1883","Publish Message (id=6) [Deviceb'Device - 1']"
"832","26.310183215","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","59967","Publish Ack (id=6)"
"834","26.310638050","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","37215","Publish Ack (id=6)"
"836","26.310668197","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","49941","Publish Ack (id=6)"
"838","26.310668278","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","60501","Publish Ack (id=6)"
"840","26.310668328","192.168.15.3","192.168.15.4","MQTT","70","","6","1883","36061","Publish Ack (id=6)"
"846","27.311996695","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","7","59967","1883","Publish Message (id=7) [Deviceb'Device - 3']"
"847","27.312069323","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","7","37215","1883","Publish Message (id=7) [Deviceb'Device - 2']"
"848","27.313068112","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","7","36061","1883","Publish Message (id=7) [Deviceb'Device - 1']"
"849","27.313133937","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","7","49941","1883","Publish Message (id=7) [Deviceb'Device - 5']"
"850","27.313201946","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","7","60501","1883","Publish Message (id=7) [Deviceb'Device - 4']"
"851","27.314771330","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","59967","Publish Ack (id=7)"
"853","27.315217027","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","37215","Publish Ack (id=7)"
"855","27.315236304","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","36061","Publish Ack (id=7)"
"857","27.315236374","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","49941","Publish Ack (id=7)"
"859","27.315259919","192.168.15.3","192.168.15.4","MQTT","70","","7","1883","60501","Publish Ack (id=7)"
"865","28.319793364","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","8","59967","1883","Publish Message (id=8) [Deviceb'Device - 3']"
"866","28.319892682","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","8","36061","1883","Publish Message (id=8) [Deviceb'Device - 1']"
"867","28.319972444","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","8","49941","1883","Publish Message (id=8) [Deviceb'Device - 5']"
"868","28.320049420","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","8","60501","1883","Publish Message (id=8) [Deviceb'Device - 4']"
"869","28.320138810","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","8","37215","1883","Publish Message (id=8) [Deviceb'Device - 2']"
"870","28.322465133","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","59967","Publish Ack (id=8)"
"872","28.322862258","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","36061","Publish Ack (id=8)"
"874","28.322886334","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","49941","Publish Ack (id=8)"
"876","28.322886404","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","60501","Publish Ack (id=8)"
"878","28.323317484","192.168.15.3","192.168.15.4","MQTT","70","","8","1883","37215","Publish Ack (id=8)"
"884","29.325224747","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","9","59967","1883","Publish Message (id=9) [Deviceb'Device - 3']"
"885","29.325398097","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","9","36061","1883","Publish Message (id=9) [Deviceb'Device - 1']"
"886","29.327157292","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","9","60501","1883","Publish Message (id=9) [Deviceb'Device - 4']"
"887","29.327239588","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","9","37215","1883","Publish Message (id=9) [Deviceb'Device - 2']"
"888","29.327314080","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","9","49941","1883","Publish Message (id=9) [Deviceb'Device - 5']"
"889","29.344939940","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","59967","Publish Ack (id=9)"
"891","29.344987040","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","36061","Publish Ack (id=9)"
"893","29.344987160","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","60501","Publish Ack (id=9)"
"895","29.344987220","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","37215","Publish Ack (id=9)"
"897","29.344987260","192.168.15.3","192.168.15.4","MQTT","70","","9","1883","49941","Publish Ack (id=9)"
"926","30.348096722","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","10","59967","1883","Publish Message (id=10) [Deviceb'Device - 3']"
"927","30.348170192","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","10","36061","1883","Publish Message (id=10) [Deviceb'Device - 1']"
"928","30.348228593","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","10","60501","1883","Publish Message (id=10) [Deviceb'Device - 4']"
"929","30.348284980","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","10","37215","1883","Publish Message (id=10) [Deviceb'Device - 2']"
"930","30.348340485","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","10","49941","1883","Publish Message (id=10) [Deviceb'Device - 5']"
"931","30.350827513","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","59967","Publish Ack (id=10)"
"933","30.351164254","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","36061","Publish Ack (id=10)"
"935","30.351182849","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","60501","Publish Ack (id=10)"
"937","30.351503338","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","37215","Publish Ack (id=10)"
"939","30.351521994","192.168.15.3","192.168.15.4","MQTT","70","","10","1883","49941","Publish Ack (id=10)"
"946","31.353047068","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","11","59967","1883","Publish Message (id=11) [Deviceb'Device - 3']"
"947","31.353118704","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","11","60501","1883","Publish Message (id=11) [Deviceb'Device - 4']"
"948","31.353177736","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","11","36061","1883","Publish Message (id=11) [Deviceb'Device - 1']"
"949","31.353810199","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","11","37215","1883","Publish Message (id=11) [Deviceb'Device - 2']"
"950","31.353874090","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","11","49941","1883","Publish Message (id=11) [Deviceb'Device - 5']"
"951","31.355894631","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","59967","Publish Ack (id=11)"
"953","31.356243414","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","60501","Publish Ack (id=11)"
"955","31.356243515","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","36061","Publish Ack (id=11)"
"957","31.356268502","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","37215","Publish Ack (id=11)"
"959","31.356623848","192.168.15.3","192.168.15.4","MQTT","70","","11","1883","49941","Publish Ack (id=11)"
"975","32.358712016","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","12","59967","1883","Publish Message (id=12) [Deviceb'Device - 3']"
"976","32.358787940","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","12","49941","1883","Publish Message (id=12) [Deviceb'Device - 5']"
"977","32.358847623","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","12","36061","1883","Publish Message (id=12) [Deviceb'Device - 1']"
"978","32.358907107","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","12","37215","1883","Publish Message (id=12) [Deviceb'Device - 2']"
"979","32.358965968","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","12","60501","1883","Publish Message (id=12) [Deviceb'Device - 4']"
"980","32.361554620","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","59967","Publish Ack (id=12)"
"982","32.362041686","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","49941","Publish Ack (id=12)"
"984","32.362062515","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","36061","Publish Ack (id=12)"
"986","32.362062575","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","37215","Publish Ack (id=12)"
"988","32.362084086","192.168.15.3","192.168.15.4","MQTT","70","","12","1883","60501","Publish Ack (id=12)"
"995","33.364872237","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","13","59967","1883","Publish Message (id=13) [Deviceb'Device - 3']"
"996","33.364966547","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","13","36061","1883","Publish Message (id=13) [Deviceb'Device - 1']"
"997","33.365045386","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","13","37215","1883","Publish Message (id=13) [Deviceb'Device - 2']"
"998","33.365121231","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","13","60501","1883","Publish Message (id=13) [Deviceb'Device - 4']"
"999","33.365195442","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","13","49941","1883","Publish Message (id=13) [Deviceb'Device - 5']"
"1000","33.367539938","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","59967","Publish Ack (id=13)"
"1002","33.367991968","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","36061","Publish Ack (id=13)"
"1004","33.368034789","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","37215","Publish Ack (id=13)"
"1006","33.368034949","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","60501","Publish Ack (id=13)"
"1008","33.368393110","192.168.15.3","192.168.15.4","MQTT","70","","13","1883","49941","Publish Ack (id=13)"
"1014","34.371030411","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","14","59967","1883","Publish Message (id=14) [Deviceb'Device - 3']"
"1015","34.371189413","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","14","60501","1883","Publish Message (id=14) [Deviceb'Device - 4']"
"1016","34.373482232","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","14","37215","1883","Publish Message (id=14) [Deviceb'Device - 2']"
"1017","34.373618040","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","14","49941","1883","Publish Message (id=14) [Deviceb'Device - 5']"
"1018","34.373728640","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","14","36061","1883","Publish Message (id=14) [Deviceb'Device - 1']"
"1019","34.376108935","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","59967","Publish Ack (id=14)"
"1021","34.376557548","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","60501","Publish Ack (id=14)"
"1023","34.376584960","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","37215","Publish Ack (id=14)"
"1025","34.376585030","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","49941","Publish Ack (id=14)"
"1027","34.376585080","192.168.15.3","192.168.15.4","MQTT","70","","14","1883","36061","Publish Ack (id=14)"
"1036","35.381781540","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","15","59967","1883","Publish Message (id=15) [Deviceb'Device - 3']"
"1037","35.382007169","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","15","60501","1883","Publish Message (id=15) [Deviceb'Device - 4']"
"1038","35.382170599","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","15","37215","1883","Publish Message (id=15) [Deviceb'Device - 2']"
"1039","35.382321817","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","15","49941","1883","Publish Message (id=15) [Deviceb'Device - 5']"
"1040","35.382485217","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","15","36061","1883","Publish Message (id=15) [Deviceb'Device - 1']"
"1041","35.384657987","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","59967","Publish Ack (id=15)"
"1043","35.385018533","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","60501","Publish Ack (id=15)"
"1045","35.385058980","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","37215","Publish Ack (id=15)"
"1047","35.385059150","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","49941","Publish Ack (id=15)"
"1049","35.385412832","192.168.15.3","192.168.15.4","MQTT","70","","15","1883","36061","Publish Ack (id=15)"
"1052","36.388761424","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","16","59967","1883","Publish Message (id=16) [Deviceb'Device - 3']"
"1053","36.388974108","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","16","37215","1883","Publish Message (id=16) [Deviceb'Device - 2']"
"1054","36.389202643","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","16","49941","1883","Publish Message (id=16) [Deviceb'Device - 5']"
"1055","36.390825317","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","16","60501","1883","Publish Message (id=16) [Deviceb'Device - 4']"
"1056","36.391040807","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","16","36061","1883","Publish Message (id=16) [Deviceb'Device - 1']"
"1057","36.391591504","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","59967","Publish Ack (id=16)"
"1059","36.392018145","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","37215","Publish Ack (id=16)"
"1061","36.392059834","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","49941","Publish Ack (id=16)"
"1063","36.393484813","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","60501","Publish Ack (id=16)"
"1065","36.393862681","192.168.15.3","192.168.15.4","MQTT","70","","16","1883","36061","Publish Ack (id=16)"
"1067","37.393714350","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","17","59967","1883","Publish Message (id=17) [Deviceb'Device - 3']"
"1068","37.395437395","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","17","37215","1883","Publish Message (id=17) [Deviceb'Device - 2']"
"1069","37.395598421","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","17","49941","1883","Publish Message (id=17) [Deviceb'Device - 5']"
"1070","37.396327928","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","59967","Publish Ack (id=17)"
"1072","37.397195276","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","17","60501","1883","Publish Message (id=17) [Deviceb'Device - 4']"
"1073","37.397342997","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","17","36061","1883","Publish Message (id=17) [Deviceb'Device - 1']"
"1074","37.398159479","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","37215","Publish Ack (id=17)"
"1076","37.401150504","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","49941","Publish Ack (id=17)"
"1078","37.410766451","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","60501","Publish Ack (id=17)"
"1080","37.411104023","192.168.15.3","192.168.15.4","MQTT","70","","17","1883","36061","Publish Ack (id=17)"
"1082","38.399901939","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","18","59967","1883","Publish Message (id=18) [Deviceb'Device - 3']"
"1083","38.401049780","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","18","37215","1883","Publish Message (id=18) [Deviceb'Device - 2']"
"1084","38.403624664","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","18","49941","1883","Publish Message (id=18) [Deviceb'Device - 5']"
"1085","38.404974259","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","59967","Publish Ack (id=18)"
"1087","38.405299518","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","37215","Publish Ack (id=18)"
"1089","38.406594379","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","49941","Publish Ack (id=18)"
"1091","38.413608731","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","18","60501","1883","Publish Message (id=18) [Deviceb'Device - 4']"
"1092","38.413709602","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","18","36061","1883","Publish Message (id=18) [Deviceb'Device - 1']"
"1093","38.417210106","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","60501","Publish Ack (id=18)"
"1095","38.417538791","192.168.15.3","192.168.15.4","MQTT","70","","18","1883","36061","Publish Ack (id=18)"
"1102","39.408423486","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","19","59967","1883","Publish Message (id=19) [Deviceb'Device - 3']"
"1103","39.408623596","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","19","37215","1883","Publish Message (id=19) [Deviceb'Device - 2']"
"1104","39.409643615","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","19","49941","1883","Publish Message (id=19) [Deviceb'Device - 5']"
"1105","39.413460159","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","59967","Publish Ack (id=19)"
"1107","39.413866130","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","37215","Publish Ack (id=19)"
"1109","39.413889715","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","49941","Publish Ack (id=19)"
"1111","39.419465653","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","19","60501","1883","Publish Message (id=19) [Deviceb'Device - 4']"
"1112","39.419560243","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","19","36061","1883","Publish Message (id=19) [Deviceb'Device - 1']"
"1113","39.424460607","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","60501","Publish Ack (id=19)"
"1115","39.424865006","192.168.15.3","192.168.15.4","MQTT","70","","19","1883","36061","Publish Ack (id=19)"
"1127","40.417225754","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","20","59967","1883","Publish Message (id=20) [Deviceb'Device - 3']"
"1128","40.417418190","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","20","37215","1883","Publish Message (id=20) [Deviceb'Device - 2']"
"1129","40.417586169","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","20","49941","1883","Publish Message (id=20) [Deviceb'Device - 5']"
"1130","40.419949180","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","59967","Publish Ack (id=20)"
"1132","40.420419023","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","37215","Publish Ack (id=20)"
"1134","40.420454220","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","49941","Publish Ack (id=20)"
"1136","40.426899420","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","20","60501","1883","Publish Message (id=20) [Deviceb'Device - 4']"
"1137","40.427069674","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","20","36061","1883","Publish Message (id=20) [Deviceb'Device - 1']"
"1138","40.431739409","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","60501","Publish Ack (id=20)"
"1140","40.432127868","192.168.15.3","192.168.15.4","MQTT","70","","20","1883","36061","Publish Ack (id=20)"
"1146","41.424607260","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","21","59967","1883","Publish Message (id=21) [Deviceb'Device - 3']"
