"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"641","21.266512446","192.168.15.4","192.168.15.3","MQTT","90","","","36061","1883","Connect Command"
"642","21.268031595","192.168.15.4","192.168.15.3","MQTT","90","","","60501","1883","Connect Command"
"643","21.268601419","192.168.15.4","192.168.15.3","MQTT","90","","","59967","1883","Connect Command"
"645","21.269092673","192.168.15.4","192.168.15.3","MQTT","90","","","37215","1883","Connect Command"
"646","21.269523652","192.168.15.3","192.168.15.4","MQTT","70","","","1883","36061","Connect Ack"
"648","21.269590860","192.168.15.4","192.168.15.3","MQTT","90","","","49941","1883","Connect Command"
"649","21.270036938","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","1","36061","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"654","21.270666937","192.168.15.3","192.168.15.4","MQTT","70","","","1883","60501","Connect Ack"
"656","21.271050025","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","1","49941","1883","Publish Message (id=1) [Deviceb'Device - 5']"
"657","21.271063801","192.168.15.3","192.168.15.4","MQTT","70","","","1883","59967","Connect Ack"
"659","21.271135087","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","1","37215","1883","Publish Message (id=1) [Deviceb'Device - 2']"
"660","21.271224537","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","1","59967","1883","Publish Message (id=1) [Deviceb'Device - 3']"
"661","21.271328084","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","1","60501","1883","Publish Message (id=1) [Deviceb'Device - 4']"
"662","21.271468681","192.168.15.3","192.168.15.4","MQTT","70","","","1883","37215","Connect Ack"
"664","21.271484211","192.168.15.3","192.168.15.4","MQTT","70","","","1883","49941","Connect Ack"
"671","21.272557071","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","36061","Publish Ack (id=1)"
"672","21.272940520","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","49941","Publish Ack (id=1)"
"674","21.272954146","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","37215","Publish Ack (id=1)"
"676","21.272965207","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","59967","Publish Ack (id=1)"
"677","21.272974164","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","60501","Publish Ack (id=1)"
"685","22.277490372","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","2","36061","1883","Publish Message (id=2) [Deviceb'Device - 1']"
"686","22.277798748","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","2","37215","1883","Publish Message (id=2) [Deviceb'Device - 2']"
"687","22.277932462","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","2","59967","1883","Publish Message (id=2) [Deviceb'Device - 3']"
"688","22.278110771","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","2","60501","1883","Publish Message (id=2) [Deviceb'Device - 4']"
"689","22.278251088","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","2","49941","1883","Publish Message (id=2) [Deviceb'Device - 5']"
"695","22.280140752","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","36061","Publish Ack (id=2)"
"697","22.280551352","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","37215","Publish Ack (id=2)"
"699","22.280551593","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","59967","Publish Ack (id=2)"
"701","22.280610625","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","60501","Publish Ack (id=2)"
"703","22.281009824","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","49941","Publish Ack (id=2)"
"710","23.284042764","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","3","36061","1883","Publish Message (id=3) [Deviceb'Device - 1']"
"711","23.284209561","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","3","60501","1883","Publish Message (id=3) [Deviceb'Device - 4']"
"712","23.284351691","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","3","37215","1883","Publish Message (id=3) [Deviceb'Device - 2']"
"713","23.286019022","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","3","59967","1883","Publish Message (id=3) [Deviceb'Device - 3']"
"714","23.286175469","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","3","49941","1883","Publish Message (id=3) [Deviceb'Device - 5']"
"718","23.290531081","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","36061","Publish Ack (id=3)"
"720","23.290567300","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","60501","Publish Ack (id=3)"
"722","23.290567420","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","37215","Publish Ack (id=3)"
"726","23.290988201","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","59967","Publish Ack (id=3)"
"728","23.291005654","192.168.15.3","192.168.15.4","MQTT","70","","3","1883","49941","Publish Ack (id=3)"
"734","24.294424497","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","4","36061","1883","Publish Message (id=4) [Deviceb'Device - 1']"
"735","24.294571878","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","4","59967","1883","Publish Message (id=4) [Deviceb'Device - 3']"
"736","24.294697727","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","4","49941","1883","Publish Message (id=4) [Deviceb'Device - 5']"
"737","24.296399813","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","4","37215","1883","Publish Message (id=4) [Deviceb'Device - 2']"
