Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
MQTT,Device - 1,104,0,4,4.75,2,25,6.0,1.0023168233878004,0.0,4,5,5,6,7,8,17,21,25,25,25
MQTT,Device - 2,104,0,3,3.980769230769231,2,24,6.0,1.0023168233878004,0.0,3,3,4,4,6,8,18,23,24,24,24
MQTT,Device - 3,104,0,3,4.076923076923077,2,25,6.0,1.0023168233878004,0.0,3,3,4,4,5,6,20,25,25,25,25
MQTT,Device - 4,104,0,4,4.548076923076923,2,18,6.0,1.0023168233878004,0.0,4,5,5,5,6,8,15,17,18,18,18
MQTT,Device - 5,104,0,3,4.028846153846154,2,24,6.0,1.0023168233878004,0.0,3,4,4,4,5,8,18,23,24,24,24
,Aggregated,520,0,3,4.276923076923077,2,25,6.0,5.011584116939002,0.0,3,4,5,5,6,8,18,23,25,25,25
