"No.","Time","Source","Destination","Protocol","Length","Info"
"12552","544.891755544","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=515) [Deviceb'Device - 1']"
"12553","544.892121436","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12556","544.894390411","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=515)"
"12558","544.895112397","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12574","545.899213400","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12576","545.901389098","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=516) [Deviceb'Device - 1']"
"12577","545.901742507","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12580","545.903794350","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=516)"
"12582","545.904604143","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12594","546.909191995","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12596","546.911260760","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=517) [Deviceb'Device - 1']"
"12597","546.911612917","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12600","546.914179243","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=517)"
"12602","546.914904656","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12614","547.945213024","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12616","547.948541814","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=518) [Deviceb'Device - 1']"
"12617","547.948874614","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12620","547.951128099","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=518)"
"12622","547.951841278","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12635","548.956509513","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12637","548.958769930","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=519) [Deviceb'Device - 1']"
"12639","548.963110866","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12641","548.965452437","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=519)"
"12643","548.966050158","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12659","549.971000684","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12662","549.973715983","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=520) [Deviceb'Device - 1']"
"12663","549.974514313","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12666","549.977447935","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=520)"
"12668","549.978120969","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12678","550.982414240","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12680","550.985179163","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=521) [Deviceb'Device - 1']"
"12681","550.986310093","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12684","550.989244467","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=521)"
"12686","550.989876813","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12724","552.011232303","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12726","552.013516787","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=522) [Deviceb'Device - 1']"
"12727","552.013895834","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12730","552.016467361","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=522)"
"12732","552.017103965","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12746","553.022372381","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12748","553.024563047","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=523) [Deviceb'Device - 1']"
"12749","553.025454874","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12752","553.027330724","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=523)"
"12754","553.028026120","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12769","554.032269222","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12771","554.034462203","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=524) [Deviceb'Device - 1']"
"12773","554.038842723","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12775","554.041323397","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=524)"
"12777","554.042038591","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12789","555.046319603","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12791","555.048487876","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=525) [Deviceb'Device - 1']"
"12792","555.048905296","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12795","555.051328061","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=525)"
"12797","555.051999652","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12813","556.056338734","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12815","556.058325384","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=526) [Deviceb'Device - 1']"
"12816","556.058755739","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12819","556.061063516","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=526)"
"12821","556.061746318","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12837","557.066196197","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12839","557.068375792","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=527) [Deviceb'Device - 1']"
"12840","557.068808942","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12843","557.071070492","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=527)"
"12845","557.071683342","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12854","558.110648932","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12856","558.112836903","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=528) [Deviceb'Device - 1']"
"12857","558.113238112","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12860","558.115537113","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=528)"
"12862","558.116120888","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12871","559.120772446","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12873","559.123117996","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=529) [Deviceb'Device - 1']"
"12875","559.127498085","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12877","559.129766177","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=529)"
"12879","559.130498383","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12892","560.135338667","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12894","560.137592293","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=530) [Deviceb'Device - 1']"
"12895","560.138013490","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12898","560.140843576","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=530)"
"12900","560.141492003","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12912","561.145493589","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12914","561.148494769","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=531) [Deviceb'Device - 1']"
"12915","561.148749291","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12918","561.151473767","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=531)"
"12920","561.152233525","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12935","562.157825561","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12937","562.160524609","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=532) [Deviceb'Device - 1']"
"12938","562.161714210","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12941","562.165725662","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=532)"
"12943","562.166481643","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12951","563.170772734","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12953","563.172920148","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=533) [Deviceb'Device - 1']"
"12954","563.173340273","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12957","563.176128670","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=533)"
"12959","563.176874201","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12971","564.185452205","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12973","564.188245371","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=534) [Deviceb'Device - 1']"
"12975","564.192223590","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12977","564.194659750","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=534)"
"12979","564.195436821","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"12991","565.199859359","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"12993","565.202024947","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=535) [Deviceb'Device - 1']"
"12994","565.203118387","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"12997","565.204844704","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=535)"
"12999","565.205419812","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13015","566.209828543","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13017","566.212111524","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=536) [Deviceb'Device - 1']"
"13018","566.212533843","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13021","566.215459810","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=536)"
"13023","566.217157493","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13037","567.243931169","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13039","567.248429192","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13040","567.248463326","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=537) [Deviceb'Device - 1']"
"13043","567.251176171","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=537)"
"13045","567.251847682","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13057","568.255983433","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13059","568.258224164","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=538) [Deviceb'Device - 1']"
"13060","568.258651693","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13063","568.261076542","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=538)"
"13065","568.261659285","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13085","569.265483316","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13087","569.267682999","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=539) [Deviceb'Device - 1']"
"13089","569.272052117","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13091","569.274372829","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=539)"
"13093","569.275109564","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13105","570.279428902","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13107","570.281947509","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=540) [Deviceb'Device - 1']"
"13108","570.282377372","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13111","570.285034030","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=540)"
"13113","570.285759393","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13125","571.289384172","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"13127","571.291553057","192.168.15.4","192.168.15.3","MQTT","171","Publish Message (id=541) [Deviceb'Device - 1']"
"13128","571.291965788","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"13131","571.294353968","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=541)"
"13133","571.294897055","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"13139","571.933253962","192.168.15.4","192.168.15.3","MQTT","68","Ping Request"
"13141","571.935951768","192.168.15.3","192.168.15.4","MQTT","68","Ping Response"
