"No.","Time","Source","Destination","Protocol","Length","Info"
"403759","3256.862738682","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3186) [Deviceb'Device - 1']"
"403760","3256.863149340","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403763","3256.865715472","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3186)"
"403765","3256.865974803","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403779","3257.869683640","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403781","3257.872550272","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3187) [Deviceb'Device - 1']"
"403783","3257.876921213","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403785","3257.879218897","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3187)"
"403787","3257.879566786","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403804","3258.883591104","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403806","3258.886309845","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3188) [Deviceb'Device - 1']"
"403807","3258.886722347","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403810","3258.889226792","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3188)"
"403812","3258.889622452","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403824","3259.893423661","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403826","3259.896276977","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3189) [Deviceb'Device - 1']"
"403827","3259.896660463","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"403830","3259.899286830","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=3189)"
"403832","3259.899815441","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"403844","3260.903383603","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"403846","3260.905957560","192.168.15.4","192.168.15.3","MQTT","348","Publish Message (id=3190) [Deviceb'Device - 1']"
"403847","3260.906388326","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
