"No.","Time","Source","Destination","Protocol","Length","Info"
"161810","984.329432824","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=961)"
"161812","984.329745125","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161833","985.333431821","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161835","985.336425702","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=962) [Deviceb'Device - 2']"
"161837","985.340579064","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161839","985.342821493","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=962)"
"161841","985.343255303","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161855","986.346783574","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161857","986.349743651","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=963) [Deviceb'Device - 2']"
"161858","986.350170568","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161861","986.352488890","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=963)"
"161863","986.353205184","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161879","987.357971836","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161881","987.361011262","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=964) [Deviceb'Device - 2']"
"161882","987.361646043","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161885","987.363855570","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=964)"
"161887","987.364357309","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161899","988.368294111","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161901","988.371265479","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=965) [Deviceb'Device - 2']"
"161902","988.371633946","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161905","988.374172996","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=965)"
"161907","988.374898016","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161928","989.378894403","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161930","989.381888984","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=966) [Deviceb'Device - 2']"
"161931","989.382290774","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161934","989.384783947","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=966)"
"161936","989.385432964","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161949","990.388778081","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161951","990.391731585","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=967) [Deviceb'Device - 2']"
"161953","990.395987411","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161955","990.398321554","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=967)"
"161957","990.398874098","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"161969","991.402791727","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"161971","991.405763445","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=968) [Deviceb'Device - 2']"
"161972","991.406183559","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"161975","991.408702221","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=968)"
"161977","991.409029710","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164368","992.412980805","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164370","992.415872571","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=969) [Deviceb'Device - 2']"
"164371","992.416273129","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164374","992.418928399","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=969)"
"164376","992.419455124","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164414","993.423299978","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164416","993.426282406","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=970) [Deviceb'Device - 2']"
"164417","993.426736605","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164420","993.429153544","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=970)"
"164422","993.429462649","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164455","994.433494284","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164463","994.439945400","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=971) [Deviceb'Device - 2']"
"164464","994.440862484","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164467","994.446705310","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=971)"
"164469","994.446981993","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164511","995.450829803","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164513","995.453803605","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=972) [Deviceb'Device - 2']"
"164515","995.458016830","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164517","995.460395978","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=972)"
"164519","995.461089910","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164531","996.465361060","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164533","996.468253498","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=973) [Deviceb'Device - 2']"
"164534","996.468689513","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164537","996.471080623","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=973)"
"164539","996.471465861","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164551","997.475654586","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164553","997.478537696","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=974) [Deviceb'Device - 2']"
"164554","997.478907596","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164557","997.481315398","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=974)"
"164559","997.481669958","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164570","998.485913778","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164572","998.488927035","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=975) [Deviceb'Device - 2']"
"164573","998.489304669","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164576","998.491771032","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=975)"
"164578","998.492202668","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164590","999.496218366","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164592","999.499210012","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=976) [Deviceb'Device - 2']"
"164593","999.499648130","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164596","999.502072474","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=976)"
"164598","999.502864471","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164610","1000.506757349","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164612","1000.509673031","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=977) [Deviceb'Device - 2']"
"164614","1000.514001824","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164616","1000.516423242","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=977)"
"164618","1000.517207685","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164630","1001.521630614","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164632","1001.524512502","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=978) [Deviceb'Device - 2']"
"164633","1001.524930642","192.168.15.3","192.168.15.4","MQTT","70","Connect Ack"
"164636","1001.528346801","192.168.15.3","192.168.15.4","MQTT","70","Publish Ack (id=978)"
"164638","1001.529108070","192.168.15.4","192.168.15.3","MQTT","68","Disconnect Req"
"164650","1002.533476797","192.168.15.4","192.168.15.3","MQTT","90","Connect Command"
"164652","1002.536388020","192.168.15.4","192.168.15.3","MQTT","97","Publish Message (id=979) [Deviceb'Device - 2']"
