Time_publish,Time_ack,Size_Payload,RTT
65.055655385,65.058983464,6.0,3.3280789999992066
66.063062255,66.065878295,6.0,2.8160399999990204
67.072094079,67.074003052,6.0,1.9089729999990368
68.079883047,68.082507213,6.0,2.6241660000039246
69.086817496,69.089779783,6.0,2.9622870000025614
70.094333808,70.097232064,6.0,2.8982559999946034
71.102951709,71.1043158,6.0,1.3640909999992346
72.109483838,72.11362706,6.0,4.143221999996172
73.116367051,73.118437169,6.0,2.070118000006005
74.12077375,74.123550225,6.0,2.7764750000045524
75.126442463,75.128827086,6.0,2.384622999997532
76.132714909,76.13838515,6.0,5.670241000004239
77.14279016,77.145423965,6.0,2.6338050000020985
78.148114137,78.151980314,6.0,3.8661770000061324
79.154591556,79.159433459,6.0,4.841902999999093
80.164075646,80.166753584,6.0,2.6779380000050423
81.168395708,81.170998875,6.0,2.6031669999895257
82.174026508,82.176654481,6.0,2.6279730000027257
83.178940229,83.180430408,6.0,1.490179000001035
84.186172036,84.188844273,6.0,2.672236999998745
85.200121253,85.202700904,6.0,2.5796509999906903
86.207261951,86.210235538,6.0,2.973586999999611
87.214447511,87.217227702,6.0,2.780190999999377
88.221117886,88.223870455,6.0,2.7525689999947645
89.226559985,89.228714151,6.0,2.1541660000110596
90.233613274,90.236263839,6.0,2.6505649999961634
91.240177624,91.242880809,6.0,2.70318500000144
92.247224118,92.252033488,6.0,4.809369999989599
93.256053184,93.259267096,6.0,3.213912000006758
94.263528568,94.266428225,6.0,2.8996570000003885
95.268816109,95.271508514,6.0,2.692405000004783
96.278950199,96.281996132,6.0,3.0459330000098817
97.287092128,97.289996433,6.0,2.9043050000012727
98.295314961,98.298109859,6.0,2.794897999990553
99.302980509,99.305716466,6.0,2.735957000012945
100.308385692,100.31110118,6.0,2.7154879999926607
101.314954675,101.320103617,6.0,5.148942000005263
102.322404665,102.325026856,6.0,2.6221910000003845
103.333219972,103.338390996,6.0,5.171024000006241
104.342541471,104.345483477,6.0,2.942005999997832
105.352419501,105.355021534,6.0,2.6020330000022796
106.36589082,106.368682091,6.0,2.7912709999924346
107.373577724,107.376513098,6.0,2.9353740000033213
108.379976843,108.382965828,6.0,2.988985000001776
109.387610138,109.392543541,6.0,4.933402999995451
110.397626926,110.400317386,6.0,2.6904599999966194
111.405114807,111.407720887,6.0,2.6060799999925166
112.412946047,112.416800549,6.0,3.8545019999958186
113.419534908,113.424550676,6.0,5.015767999992704
114.430469478,114.43309241,6.0,2.6229319999941936
115.439613753,115.442913215,6.0,3.2994620000010855
116.446291791,116.449026534,6.0,2.734743000004869
117.451538997,117.454526458,6.0,2.9874610000035773
