"No.","Time","Source","Destination","Protocol","Length","Topic","Message Identifier","Source Port","Destination Port","Info"
"1035","65.053080992","192.168.15.4","192.168.15.3","MQTT","90","","","53431","1883","Connect Command"
"1036","65.053618669","192.168.15.4","192.168.15.3","MQTT","90","","","57193","1883","Connect Command"
"1037","65.053984993","192.168.15.4","192.168.15.3","MQTT","90","","","58679","1883","Connect Command"
"1038","65.054242029","192.168.15.4","192.168.15.3","MQTT","90","","","45275","1883","Connect Command"
"1039","65.054454141","192.168.15.4","192.168.15.3","MQTT","90","","","49771","1883","Connect Command"
"1041","65.055655385","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","1","53431","1883","Publish Message (id=1) [Deviceb'Device - 1']"
"1043","65.055675623","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","1","57193","1883","Publish Message (id=1) [Deviceb'Device - 4']"
"1045","65.055682496","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","1","58679","1883","Publish Message (id=1) [Deviceb'Device - 3']"
"1047","65.055688848","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","1","45275","1883","Publish Message (id=1) [Deviceb'Device - 5']"
"1048","65.056214593","192.168.15.3","192.168.15.4","MQTT","70","","","1883","53431","Connect Ack"
"1050","65.056580926","192.168.15.3","192.168.15.4","MQTT","70","","","1883","45275","Connect Ack"
"1052","65.056602026","192.168.15.3","192.168.15.4","MQTT","70","","","1883","58679","Connect Ack"
"1054","65.057218623","192.168.15.3","192.168.15.4","MQTT","70","","","1883","57193","Connect Ack"
"1057","65.057710474","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","1","49771","1883","Publish Message (id=1) [Deviceb'Device - 2']"
"1062","65.057746823","192.168.15.3","192.168.15.4","MQTT","70","","","1883","49771","Connect Ack"
"1064","65.058983464","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","53431","Publish Ack (id=1)"
"1066","65.059004063","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","45275","Publish Ack (id=1)"
"1068","65.059004133","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","58679","Publish Ack (id=1)"
"1070","65.059028399","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","57193","Publish Ack (id=1)"
"1072","65.059028469","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","49771","Publish Ack (id=1)"
"1096","66.053712809","192.168.15.4","192.168.15.3","MQTT","90","","","56749","1883","Connect Command"
"1097","66.054541757","192.168.15.4","192.168.15.3","MQTT","90","","","40191","1883","Connect Command"
"1098","66.054974897","192.168.15.4","192.168.15.3","MQTT","90","","","38615","1883","Connect Command"
"1099","66.055369254","192.168.15.4","192.168.15.3","MQTT","90","","","60033","1883","Connect Command"
"1100","66.055731700","192.168.15.4","192.168.15.3","MQTT","91","","","48911","1883","Connect Command"
"1102","66.056256413","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 6'","1","56749","1883","Publish Message (id=1) [Deviceb'Device - 6']"
"1105","66.056810682","192.168.15.3","192.168.15.4","MQTT","70","","","1883","56749","Connect Ack"
"1107","66.057167407","192.168.15.3","192.168.15.4","MQTT","70","","","1883","38615","Connect Ack"
"1109","66.057167597","192.168.15.3","192.168.15.4","MQTT","70","","","1883","40191","Connect Ack"
"1111","66.057980446","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 8'","1","38615","1883","Publish Message (id=1) [Deviceb'Device - 8']"
"1113","66.058126733","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 7'","1","60033","1883","Publish Message (id=1) [Deviceb'Device - 7']"
"1115","66.058150488","192.168.15.4","192.168.15.3","MQTT","98","Deviceb'Device - 10'","1","48911","1883","Publish Message (id=1) [Deviceb'Device - 10']"
"1117","66.058142052","192.168.15.3","192.168.15.4","MQTT","70","","","1883","60033","Connect Ack"
"1119","66.058259714","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 9'","1","40191","1883","Publish Message (id=1) [Deviceb'Device - 9']"
"1120","66.058521019","192.168.15.3","192.168.15.4","MQTT","70","","","1883","48911","Connect Ack"
"1122","66.058968235","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","56749","Publish Ack (id=1)"
"1126","66.060179709","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","38615","Publish Ack (id=1)"
"1129","66.060577181","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","60033","Publish Ack (id=1)"
"1131","66.060596157","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","48911","Publish Ack (id=1)"
"1133","66.061154083","192.168.15.3","192.168.15.4","MQTT","70","","1","1883","40191","Publish Ack (id=1)"
"1134","66.062882515","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 2'","2","49771","1883","Publish Message (id=2) [Deviceb'Device - 2']"
"1135","66.063062255","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 1'","2","53431","1883","Publish Message (id=2) [Deviceb'Device - 1']"
"1136","66.063214553","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 4'","2","57193","1883","Publish Message (id=2) [Deviceb'Device - 4']"
"1140","66.065464241","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","49771","Publish Ack (id=2)"
"1142","66.065878295","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","53431","Publish Ack (id=2)"
"1144","66.065891099","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","57193","Publish Ack (id=2)"
"1146","66.066603427","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 3'","2","58679","1883","Publish Message (id=2) [Deviceb'Device - 3']"
"1147","66.066796603","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 5'","2","45275","1883","Publish Message (id=2) [Deviceb'Device - 5']"
"1150","66.068081565","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","58679","Publish Ack (id=2)"
"1152","66.068494426","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","45275","Publish Ack (id=2)"
"1200","67.061091414","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 6'","2","56749","1883","Publish Message (id=2) [Deviceb'Device - 6']"
"1213","67.063864412","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","56749","Publish Ack (id=2)"
"1215","67.065307624","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 9'","2","40191","1883","Publish Message (id=2) [Deviceb'Device - 9']"
"1217","67.066915097","192.168.15.3","192.168.15.4","MQTT","70","","2","1883","40191","Publish Ack (id=2)"
"1219","67.067482751","192.168.15.4","192.168.15.3","MQTT","98","Deviceb'Device - 10'","2","48911","1883","Publish Message (id=2) [Deviceb'Device - 10']"
"1220","67.067625111","192.168.15.4","192.168.15.3","MQTT","97","Deviceb'Device - 8'","2","38615","1883","Publish Message (id=2) [Deviceb'Device - 8']"
